ano,estado,familia,denominacao,quantidade
2002,SÃO PAULO,50,00,63.426,00
2002,SÃO PAULO,100,00,419,00
2002,SERGIPE,1,00,1,00
2002,SERGIPE,2,00,4,00
2002,SERGIPE,5,00,158,00
2002,SERGIPE, ,10,00,5,00
2002,SERGIPE,10,00,842,00
2002,SERGIPE,20,00,44,00
2002,SERGIPE,50,00,816,00
2002,SERGIPE,100,00,2,00
2002,TOCANTINS,2,00,1,00
2002,TOCANTINS,5,00,86,00
2002,TOCANTINS,10,00,404,00
2002,TOCANTINS,20,00,109,00
2002,TOCANTINS,50,00,995,00
2002,TOCANTINS,100,00,9,00
